book_author,book_image_link,book_name,book_price
Joyce Meyer,https://m.media-amazon.com/images/I/81gWyjjZv0L._AC_UY218_.jpg,"Authentically, Uniquely You: Living Free from Comparison and the Need to Please",18.
AMKA Publishing,https://m.media-amazon.com/images/I/41FKtL0Ld6L._AC_UY218_.jpg,Book of Anonymous Letters,13.
Howard Markel,https://m.media-amazon.com/images/I/61kp7tknNIS._AC_UY218_.jpg,"The Secret of Life: Rosalind Franklin, James Watson, Francis Crick, and the Discovery of DNA's Double Helix",19.
Carey Nieuwhof,https://m.media-amazon.com/images/I/71oezjV73kS._AC_UY218_.jpg,"At Your Best: How to Get Time, Energy, and Priorities Working in Your Favor",.
Praying Medic,https://m.media-amazon.com/images/I/61yrxO4VLVL._AC_UY218_.jpg,Dream Interpretation Made Simple (The Kingdom of God Made Simple),17.
Jonathon Seidl,https://m.media-amazon.com/images/I/41cAyApCt7L._AC_UY218_.jpg,"Finding Rest: A Survivor's Guide to Navigating the Valleys of Anxiety, Faith, and Life",15.
Max Chafkin,https://m.media-amazon.com/images/I/91fgSIenSQL._AC_UY218_.jpg,The Contrarian: Peter Thiel and Silicon Valley's Pursuit of Power,19.
Deborah Hopkinson,https://m.media-amazon.com/images/I/81tbS+IJzsS._AC_UY218_.jpg,My Little Golden Book About Betty White,5.
Joseph J. Ellis Ph.D.,https://m.media-amazon.com/images/I/71g7Z2wu5GS._AC_UY218_.jpg,"The Cause: The American Revolution and its Discontents, 1773-1783",23.
Wade Pfau,https://m.media-amazon.com/images/I/61hwcyoYTVL._AC_UY218_.jpg,Retirement Planning Guidebook: Navigating the Important Decisions for Retirement Success,27.
Paul Hawken,https://m.media-amazon.com/images/I/71ZGFKvjq-S._AC_UY218_.jpg,Regeneration: Ending the Climate Crisis in One Generation,18.
Katharine Hayhoe,https://m.media-amazon.com/images/I/71BS877bB+S._AC_UY218_.jpg,Saving Us: A Climate Scientist's Case for Hope and Healing in a Divided World,22.
Eva Pilgrim,https://m.media-amazon.com/images/I/91wt6b8N-8L._AC_UY218_.jpg,Walter Does His Best: A Frenchie Adventure in Kindness and Muddy Paws,15.
Nathaniel Philbrick,https://m.media-amazon.com/images/I/81psXiUFRGL._AC_UY218_.jpg,Travels with George: In Search of Washington and His Legacy,25.
Maria Tatar,https://m.media-amazon.com/images/I/71pGPnljK+L._AC_UY218_.jpg,The Heroine with 1001 Faces,25.
Danielle Walker,https://m.media-amazon.com/images/I/91GFVUyCaJL._AC_UY218_.jpg,Food Saved Me: My Journey of Finding Health and Hope through the Power of Food,.
Stephanie Garber,https://m.media-amazon.com/images/I/81lielSX2hL._AC_UY218_.jpg,Once Upon a Broken Heart,15.
Lauren Tarshis,https://m.media-amazon.com/images/I/713Pqz2dy+L._AC_UY218_.jpg,"I Survived the Galveston Hurricane, 1900 (I Survived #21) (21)",5.
Hayley Mills,https://m.media-amazon.com/images/I/81Q5abRCtfL._AC_UY218_.jpg,Forever Young: A Memoir,21.
Ruth Ozeki,https://m.media-amazon.com/images/I/91LrjYaZgdS._AC_UY218_.jpg,The Book of Form and Emptiness: A Novel,25.
Sheila Walsh,https://m.media-amazon.com/images/I/81fG3OoP+2L._AC_UY218_.jpg,Holding On When You Want to Let Go: Clinging to Hope When Life Is Falling Apart,20.
Amia Srinivasan,https://m.media-amazon.com/images/I/81IUKx0cLOL._AC_UY218_.jpg,The Right to Sex: Feminism in the Twenty-First Century,24.
Ashley Whittaker,https://m.media-amazon.com/images/I/91nHi5vlCgL._AC_UY218_.jpg,"The Well-Loved House: Creating Homes with Color, Comfort, and Drama",
Kai-Fu Lee,https://m.media-amazon.com/images/I/61GA1fTwZFL._AC_UY218_.jpg,AI 2041: Ten Visions for Our Future,0.
Pamela M. Kelley,https://m.media-amazon.com/images/I/81y0i-4ONkL._AC_UY218_.jpg,Nantucket News (Nantucket Beach Plum Cove Book 7),4.
Rick Riordan,https://m.media-amazon.com/images/I/71YxDdxSDUL._AC_UY218_.jpg,The Cursed Carnival and Other Calamities: New Stories About Mythic Heroes,14.
PragerU,https://m.media-amazon.com/images/I/61CljWqEBhL._AC_UY218_.jpg,Otto's Tales: Today is Columbus Day!,9.
Anita Hill,https://m.media-amazon.com/images/I/71TlCYwIC+S._AC_UY218_.jpg,Believing: Our Thirty-Year Journey to End Gender Violence,25.
Jay Kristoff,https://m.media-amazon.com/images/I/81536h3odIL._AC_UY218_.jpg,Empire of the Vampire,0.
